userId,itemId,rating,timestamp
852,0,4.0,1203984000
168,0,4.0,1388793600
603,0,5.0,1356912000
854,1,5.0,1339372800
334,1,5.0,1386806400
232,1,4.0,1387065600
747,2,5.0,1196208000
222,3,5.0,1384560000
827,4,5.0,1364256000
59,4,5.0,976665600
696,4,4.0,1324771200
635,4,5.0,1354492800
402,5,5.0,1386547200
663,6,2.0,1086998400
251,6,3.0,1109462400
213,6,5.0,1402876800
16,6,5.0,1364515200
108,6,5.0,1091232000
336,6,4.0,1254441600
724,6,3.0,1106006400
406,6,2.0,1099526400
237,6,5.0,1111968000
115,6,5.0,1379203200
152,6,3.0,1269216000
226,6,5.0,1081900800
547,6,5.0,1098748800
562,7,5.0,1375142400
299,8,5.0,1329004800
176,9,5.0,1374537600
732,10,5.0,1266537600
550,11,4.0,984182400
299,12,4.0,1256947200
336,13,1.0,1218326400
930,13,4.0,960940800
362,14,4.0,1218067200
363,15,3.0,1223424000
30,15,4.0,1370390400
182,16,5.0,1381881600
108,17,4.0,1283126400
93,18,5.0,1002931200
567,19,5.0,1355788800
551,19,5.0,1367625600
108,19,4.0,1299628800
586,19,5.0,1364342400
48,19,4.0,1378512000
531,20,2.0,1040256000
22,20,4.0,1027382400
427,21,4.0,1366502400
850,22,5.0,1393891200
930,22,3.0,1081296000
285,23,5.0,1040515200
869,23,5.0,1388448000
108,24,5.0,967939200
586,25,5.0,1365465600
11,25,5.0,1281398400
115,26,4.0,1391558400
833,27,5.0,1388534400
866,27,5.0,1352764800
542,28,4.0,1172707200
503,29,5.0,1165190400
336,30,4.0,1229990400
284,31,5.0,1079654400
445,31,5.0,995587200
855,31,5.0,1372377600
549,32,5.0,940723200
120,33,5.0,961286400
800,33,5.0,1160611200
110,34,1.0,1329523200
108,35,5.0,1050796800
120,35,4.0,1037059200
377,36,5.0,1341360000
59,37,4.0,1015200000
590,37,2.0,1004486400
214,37,1.0,1270080000
118,37,4.0,1009843200
705,37,5.0,1307750400
663,38,5.0,1086393600
251,38,5.0,1209600000
696,38,3.0,1010102400
463,39,5.0,1382659200
422,39,5.0,1355875200
865,39,5.0,1382400000
696,40,4.0,1001894400
89,41,5.0,1271808000
788,42,3.0,1058745600
549,43,1.0,940723200
59,43,5.0,1043366400
637,43,5.0,1074384000
108,43,3.0,1049155200
26,43,5.0,1106006400
406,43,5.0,990403200
21,43,5.0,959731200
513,43,4.0,947462400
199,44,5.0,1033257600
704,44,5.0,1236643200
108,44,5.0,1365206400
336,44,5.0,1315267200
321,44,5.0,1217203200
115,44,4.0,1379030400
649,45,1.0,1194220800
618,46,5.0,1144454400
268,46,5.0,1387238400
168,46,4.0,1375660800
800,47,5.0,1014595200
593,48,5.0,1357689600
111,49,5.0,1300924800
910,50,3.0,990489600
787,50,1.0,966643200
478,50,5.0,1299888000
157,51,4.0,977443200
905,52,5.0,1019952000
115,52,4.0,1379721600
629,52,5.0,1027814400
95,53,5.0,1374624000
92,53,5.0,1182211200
157,54,5.0,977443200
184,54,5.0,970444800
438,54,5.0,1335312000
385,55,4.0,1360281600
905,55,5.0,1100304000
612,55,5.0,1188950400
977,56,5.0,1216252800
762,57,4.0,1132531200
447,58,4.0,1278720000
336,58,3.0,1305849600
438,58,3.0,1297123200
308,59,5.0,1058745600
788,60,5.0,1063324800
23,60,4.0,1217548800
